Date,High,Low,Open,Close,Volume,Adj Close
2008-01-02,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.0,0.26425305008888245
2008-01-03,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.0,0.26425305008888245
2008-01-04,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.0,0.26425305008888245
2008-01-07,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.0,0.26425305008888245
2008-01-08,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.0,0.26425305008888245
2008-01-09,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.0,0.26425305008888245
2008-01-10,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.0,0.26425305008888245
2008-01-11,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.0,0.26425305008888245
2008-01-14,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.0,0.26425305008888245
2008-01-15,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.0,0.26425305008888245
2008-01-16,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.0,0.26425305008888245
2008-01-17,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.0,0.26425305008888245
2008-01-18,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.0,0.26425305008888245
2008-01-22,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.0,0.26425305008888245
2008-01-23,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.0,0.26425305008888245
2008-01-24,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.0,0.26425305008888245
2008-01-25,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.0,0.26425305008888245
2008-01-28,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.0,0.26425305008888245
2008-01-29,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.0,0.26425305008888245
2008-01-30,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.0,0.26425305008888245
2008-01-31,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.0,0.26425305008888245
2008-02-01,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.0,0.26425305008888245
2008-02-04,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.0,0.26425305008888245
2008-02-05,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.0,0.26425305008888245
2008-02-06,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.0,0.26425305008888245
2008-02-07,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.0,0.26425305008888245
2008-02-08,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.0,0.26425305008888245
2008-02-11,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.0,0.26425305008888245
2008-02-12,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.0,0.26425305008888245
2008-02-13,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.0,0.26425305008888245
2008-02-14,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.0,0.26425305008888245
2008-02-15,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.0,0.26425305008888245
2008-02-19,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.0,0.26425305008888245
2008-02-20,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.0,0.26425305008888245
2008-02-21,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.0,0.26425305008888245
2008-02-22,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.0,0.26425305008888245
2008-02-25,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.0,0.26425305008888245
2008-02-26,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.0,0.26425305008888245
2008-02-27,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.0,0.26425305008888245
2008-02-28,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.0,0.26425305008888245
2008-02-29,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.0,0.26425305008888245
2008-03-03,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.0,0.26425305008888245
2008-03-04,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.0,0.26425305008888245
2008-03-05,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.0,0.26425305008888245
2008-03-06,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.0,0.26425305008888245
2008-03-07,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.0,0.26425305008888245
2008-03-10,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.0,0.26425305008888245
2008-03-11,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.0,0.26425305008888245
2008-03-12,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.0,0.26425305008888245
2008-03-13,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.0,0.26425305008888245
2008-03-14,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.0,0.26425305008888245
2008-03-17,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.0,0.26425305008888245
2008-03-18,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.0,0.26425305008888245
2008-03-19,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.0,0.26425305008888245
2008-03-20,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.0,0.26425305008888245
2008-03-24,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.0,0.26425305008888245
2008-03-25,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.0,0.26425305008888245
2008-03-26,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.0,0.26425305008888245
2008-03-27,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.0,0.26425305008888245
2008-03-28,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.0,0.26425305008888245
2008-03-31,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.0,0.26425305008888245
2008-04-01,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.0,0.26425305008888245
2008-04-02,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.0,0.26425305008888245
